Name | ID | (Total | Bots | Users)
Bot Testing Center | 247525671042154498 | (14 | 12 | 2)
Botsify | 366458918421135372 | (55 | 54 | 1)
Minecraft | 300637186112356364 | (18 | 11 | 7)
Private | 187899071397101568 | (17 | 16 | 1)
xbjshsjhd (nsfw) | 285727019210375170 | (8 | 6 | 2)
CLАN-[B] | 348903982082686987 | (1003 | 804 | 199)
Bot HeLL: Crono is a homo edition @everyone | 331981755177238530 | (993 | 974 | 19)
BOT HEAVEN | 259857002535190538 | (44 | 43 | 1)
I want to die. | 323875940788600833 | (128 | 124 | 4)
Test server | 186482113237876736 | (23 | 21 | 2)
MAIER | 285854991074459650 | (13 | 5 | 8)
Chicken clan | 301033409692565504 | (48 | 44 | 4)
Perfect Formula Arcade | 246806188451299328 | (27 | 7 | 20)
Fire Gamer TH Group | 272601396031782912 | (18 | 12 | 6)
MEME WARRIORS REPUBLIC | 250859879722385409 | (455 | 19 | 436)
Hypers and Amandas server | 320681244914614274 | (12 | 8 | 4)
DIRT ZONE | 356452475114618880 | (27 | 8 | 19)
Meme-A-Boo | 331225138576228363 | (38 | 14 | 24)
Penguin | 157990864495443968 | (13 | 11 | 2)
aa | 281460992423100417 | (102 | 102 | 0)
Test Chan | 262242492756393985 | (24 | 15 | 9)
Public Test Server | 229705863223312385 | (15 | 11 | 4)
TheVoidWalkers | 270500962597076992 | (18 | 5 | 13)
HEW HEW | 284857138092834828 | (35 | 8 | 27)
SLOTHS | 270260023433625610 | (14 | 11 | 3)
Ameer + Friends Channel :) | 318526369027981313 | (56 | 31 | 25)
ツ❄SSRH❄ Clan Chat | 309711081037758464 | (21 | 9 | 12)
Safe and Sane Fireworks! | 312344792300519425 | (175 | 10 | 165)
Uncle Drake' Crib | 248494659662381056 | (14 | 9 | 5)
HinoarashiDAC Offical Server | 302842641798922241 | (51 | 44 | 7)
Extra Stink | 369146262043492362 | (14 | 10 | 4)
YGJ FML | 277889555816775680 | (75 | 6 | 69)
Discord Dungeons | 172382467385196544 | (6890 | 27 | 6863)
Sleepless-Raven67's den | 298568825455116289 | (12 | 6 | 6)
Official DM | 347635641124913153 | (48 | 19 | 29)
Yara! | 272183156206075904 | (1177 | 10 | 1167)
Potatoes | 239505897565585419 | (14 | 6 | 8)
Army of the Unpleasant | 254958006486302720 | (31 | 7 | 24)
WITHOUT NAME . | 252161674432217109 | (28 | 9 | 19)
No Pain No Gain | 370283934900027392 | (15 | 10 | 5)
PH Clan | 327825855906578453 | (79 | 77 | 2)
1ynx Clan Chat [OLD] | 239268034118811649 | (128 | 51 | 77)
S F P | 237562268294840320 | (45 | 40 | 5)
Quilby's Server | 249677731208495104 | (18 | 14 | 4)
Hayden | 297286170105217024 | (22 | 19 | 3)
☢ Dragon's Hangout ☢ | 259486320781557761 | (14 | 10 | 4)
darkn1nja01's discord | 338070724742742018 | (20 | 13 | 7)
Random Shit Discord Edition. | 278594202240024598 | (18 | 8 | 10)
הסבר של סאם youTube | 310149451966709761 | (13 | 10 | 3)
Cracked! | 242760162039824394 | (125 | 118 | 7)
FRIENDS | 220091853570179074 | (32 | 30 | 2)
VAINGLORY: Valar Dohaeris Guild | 241029266567987201 | (28 | 15 | 13)
Spoons Rattling | 256127979401379842 | (26 | 22 | 4)
Mein Reich | 291309920538853400 | (5 | 1 | 4)
24/7 GAMING | 239385531740323840 | (88 | 50 | 38)
Chill Chat | 275044290798026752 | (38 | 24 | 14)
The Sheepies | 248049820319744000 | (19 | 9 | 10)
Testes ! Yey, só eu aqui ;-; | 342817630153080834 | (8 | 5 | 3)
Serveur-test | 313754818277670913 | (24 | 21 | 3)
Split Clit | 237725231307948032 | (7 | 4 | 3)
WE LOVE NUNU ( ͡° ͜ʖ ͡°) | 144237048650399744 | (47 | 12 | 35)
The Joke's | 356545480865349632 | (12 | 9 | 3)
NYKING'S CHILLA PARADISE | 283815085615480834 | (10 | 9 | 1)
Friends and Family | 258035308803653642 | (15 | 5 | 10)
Discord Bots v7 | 291776478100717569 | (206 | 206 | 0)
[UK] ArtexServers | 292673945650462730 | (9 | 6 | 3)
美服OW | 327935006817255425 | (336 | 110 | 226)
SPAM | 283419102826201088 | (4 | 3 | 1)
drink me blech | 310344190079008768 | (182 | 173 | 9)
Gamer Meetup | 305046949235523594 | (23 | 16 | 7)
Light Side Clan(under developement) | 319038562572173312 | (18 | 15 | 3)
ЛЕДЕНЦЫ АРТЁМА | 323069488654319616 | (29 | 24 | 5)
ReallyBadGame Discord | 335565764461330443 | (50 | 49 | 1)
Fun Server :D | 276728090544177152 | (14 | 8 | 6)
james's old server | 273513918343675905 | (54 | 43 | 11)
Roast Coast | 254707027572555776 | (73 | 27 | 46)
Random Chat | 283347286283649024 | (28 | 14 | 14)
Obnoxious Bot Server | 317025646633025536 | (118 | 116 | 2)
Discord bot [FR] | 292763028792016898 | (129 | 120 | 9)
BOTS <u< | 276167077344182273 | (76 | 75 | 1)
4chan.gov | 248960144581459968 | (46 | 21 | 25)
BOTS | 281966042677248000 | (243 | 230 | 13)
L'antre d'Omega | 367341491238207488 | (137 | 125 | 12)
stashin' bots | 284363332318658564 | (234 | 229 | 5)
Discord Bots | 110373943822540800 | (10102 | 1429 | 8673)
Lanwar | 133718664699576321 | (180 | 4 | 176)
Big Fat Wiener | 356411066802241547 | (208 | 198 | 10)
philip | 292085473059405825 | (51 | 48 | 3)
Sledgehammer | 241593567485755392 | (67 | 3 | 64)
The Forgotten | 187711591729463296 | (276 | 274 | 2)
The Bad and The Boujee | 255378624629178378 | (49 | 32 | 17)
Parv and Lunar's Bot List | 354049568842842112 | (211 | 209 | 2)
|eSHS| https://plug.dj/sergei-party | 357991371325571072 | (17 | 6 | 11)
DopeBoys | 235150105425084416 | (17 | 1 | 16)
Brother | 317623722099998720 | (54 | 17 | 37)
Illuminati | 257330797906755585 | (30 | 27 | 3)
឵឵ | 208928205225066496 | (110 | 100 | 10)
just cause | 367402725765283840 | (17 | 7 | 10)
BAZU | 239638078153555978 | (50 | 3 | 47)
sendnudes | 266284166381961216 | (5 | 4 | 1)
SL- Canon n Non-Canon Club | 319886974259298304 | (17 | 14 | 3)
Continent of Aetharus | 236222553948028928 | (19 | 13 | 6)
HS CLASS OF 2020 | 148940782336868352 | (48 | 6 | 42)
Bots | 324272713780953088 | (43 | 42 | 1)
Uganda İmparatorluğu | 242005884945956864 | (60 | 11 | 49)
Fucking memes | 352863329317945345 | (5 | 4 | 1)
Dab Life | 317001784751161348 | (91 | 88 | 3)
ITS EVERYDAY KAGOBAFOOM | 238408098837037056 | (34 | 16 | 18)
cool gamer and need a mincraft account for free mine got hacked please help me | 248208499790577664 | (26 | 24 | 2)
R.I.P  harambe | 254797060329570315 | (57 | 19 | 38)
AVOCODO | 361634114190835732 | (30 | 26 | 4)
Bot hell | 334773226003628033 | (717 | 712 | 5)
Ms. Hong's Room :3 | 237992156982280192 | (4 | 3 | 1)
Shit... | 278773875930824704 | (370 | 362 | 8)
🔥House Shwrapcheff🔥 | 234642092171853824 | (187 | 48 | 139)
Chat of bots | 143390437992824832 | (87 | 76 | 11)
ANARKIA | 294531172808261633 | (6 | 4 | 2)
Trove Grind | 285768583995457536 | (19 | 17 | 2)
Gregg Clan | 271811807813828609 | (18 | 9 | 9)
TheVoid | 263468236966854658 | (42 | 16 | 26)
Say yes to Depression | 280360046620180481 | (35 | 29 | 6)
Club Smooth | 249709571877240832 | (6 | 5 | 1)
VULPOIU | 318436236668829698 | (62 | 37 | 25)
The Genesis | 246542057726935040 | (30 | 17 | 13)
sassafrass central station | 284125780345356288 | (82 | 29 | 53)
Lucky Few | 270669582564327435 | (30 | 11 | 19)
Craftwars universe 0.2 | 290677928662925322 | (13 | 8 | 5)
sadads | 250444615751172096 | (2 | 1 | 1)
BOTS BOTS BOTS | 259162827045076992 | (115 | 111 | 4)
Double Whooper cheese | 247119199359598593 | (211 | 199 | 12)
Discord Animation School | 358753240302485524 | (12 | 5 | 7)
TheLolz | 282813030817988608 | (70 | 68 | 2)
papasquat | 179700717173342208 | (107 | 82 | 25)
𝕊𝔸𝕍𝔸𝔾𝔼𝕊 | 361305621103902740 | (20 | 7 | 13)
pass me my BEERS | 291777661221601281 | (208 | 208 | 0)
Rice Gum Crew | 279466651458600970 | (7 | 5 | 2)
M.A.F.I.A Gamerilor ! | 326664396384501763 | (6 | 5 | 1)
We Need More Bots | 198977207664640000 | (55 | 42 | 13)
4Head | 250779106709340160 | (6 | 3 | 3)
Legit ︻デ═一 | 280116947277053952 | (18 | 4 | 14)
.. | 267353298766528523 | (103 | 89 | 14)
OrderOfDead | 268887172466212864 | (50 | 42 | 8)
Discord Bots v4 | 291775454891999232 | (206 | 206 | 0)
P T G | 193496721483890688 | (9 | 7 | 2)
teste | 280091234947825675 | (10 | 8 | 2)
Nicky picky Dicky & Down | 226664742003933184 | (183 | 122 | 61)
[USA] United Server Aliance | 323388916017397761 | (264 | 246 | 18)
CHILL AND FUN | 326601779896909825 | (75 | 12 | 63)
The Y Jedi Order | 229974555257470976 | (19 | 8 | 11)
Server | 300463152527835137 | (4 | 2 | 2)
Hack-o'-Fraggers | 182749346779889664 | (137 | 93 | 44)
ＧＲＡＶＥＹＡＲＤ | 304806903362355210 | (89 | 85 | 4)
BW ist eh das beste | 274621988482580490 | (28 | 26 | 2)
BBQ HOUSE | 213852879549759488 | (62 | 4 | 58)
Cheese.lab Industries | 81812480254291968 | (168 | 47 | 121)
VisionModz Server// PUBLIC | 318483644609986560 | (241 | 218 | 23)
ph gamers lobby | 232850892603392011 | (11 | 9 | 2)
The Stone PitTest | 194143886384300032 | (15 | 13 | 2)
TheGrandSceme | 278719281192239104 | (55 | 53 | 2)
Discord Bots v8 | 291776957593550848 | (206 | 206 | 0)
Hangout | 339173955044900864 | (18 | 14 | 4)
Um | 221998987647909888 | (90 | 82 | 8)
Cancer memes | 335672146833440768 | (55 | 8 | 47)
XSA | 254301807982018560 | (2 | 1 | 1)
Sir.Dat - Army | 286961610457612288 | (12 | 6 | 6)
Lucifer | 300358294298427393 | (39 | 4 | 35)
Kingdom of Greater Armenia | 264467185278124032 | (4 | 1 | 3)
Bot | 318836486726483968 | (47 | 44 | 3)
#حزب_ماوكلي | 306872674099920897 | (11 | 10 | 1)
We Moved! [invite inside] | 245607453075570698 | (218 | 14 | 204)
LearsLens | 315778112379944961 | (56 | 50 | 6)
Sirius Diep Agar Slither Games | 249952513736966144 | (61 | 38 | 23)
LegionServers - Closed | 291545495162322944 | (34 | 5 | 29)
Luz Server Reloaded | 118076266208296968 | (51 | 7 | 44)
pussies house | 337306679659986955 | (14 | 7 | 7)
The Arena | 218963535181381633 | (9 | 6 | 3)
literal hell | 339562993006149632 | (20 | 17 | 3)
Altos Bugs | 243118527622414336 | (17 | 16 | 1)
ByEthanGamer | 326169128480014336 | (20 | 13 | 7)
?¿ | 262288618696081408 | (2 | 1 | 1)
Kurtis's Docking Club | 134849984603357184 | (208 | 135 | 73)
CSW Cosmic Wolf | 245586575193407488 | (61 | 8 | 53)
[B] | 273915193589760000 | (88 | 86 | 2)
Burdened Dungeons | 243174174401495050 | (37 | 7 | 30)
#HailSatan | 304027801382551552 | (77 | 65 | 12)
the best vip player | 312327105222541312 | (16 | 7 | 9)
TestBOT | 290188864373522432 | (7 | 4 | 3)
Discord Town | 236891530760028170 | (168 | 18 | 150)
BotEarth | 294286936007507969 | (110 | 107 | 3)
Bot/Meme/Gaming Channel | 263430429812457472 | (59 | 57 | 2)
TEST | 249563829590032384 | (2 | 1 | 1)
Quantum Airways "The Sky is the Limit" | 275756194835202048 | (678 | 7 | 671)
pi | 236256458470064128 | (51 | 42 | 9)
SodaDiscord | 321490934300803072 | (5 | 4 | 1)
Deadly Marshmallows Empire | 365998631331037184 | (16 | 8 | 8)
Shade's Reborn Basement | 305689267605340162 | (31 | 15 | 16)
Duskworld | 310652367563653121 | (14 | 8 | 6)
Blank | 262428709313708032 | (83 | 79 | 4)
akace100 | 187006690439331840 | (51 | 50 | 1)
The Bot Server | 317203692119916544 | (251 | 196 | 55)
United Civil Services | 291606688694534144 | (11 | 4 | 7)
Oyuncu Tayfası | 355149748233306122 | (77 | 7 | 70)
Bot Test Room | 315244121424134145 | (29 | 28 | 1)
❴ฬ✹￦⁆ and 〖ℙ❂ʞ෴ clan | 263735741459202048 | (23 | 12 | 11)
¤Bot_Heaven¤ | 262938543977005056 | (46 | 37 | 9)
Discord Bot Server | 301081720147542016 | (147 | 142 | 5)
Botty Bot Bot | 299338901045116930 | (115 | 110 | 5)
XOcoreX | 296713844150239232 | (163 | 63 | 100)
NSFW | 320408140476579840 | (21 | 18 | 3)
poooooo | 246991651573071882 | (53 | 48 | 5)
24 | 282835175115849728 | (27 | 23 | 4)
Nuclear Team | 234741671789592577 | (39 | 8 | 31)
Origin's Test Server | 242018821290983425 | (6 | 4 | 2)
ThingMMWFirends1 | 258285256644362240 | (14 | 12 | 2)
familien game | 303072574059970562 | (17 | 14 | 3)
BOT BATTLEFIELD | 341739126707716117 | (20 | 19 | 1)
@here are you online? | 291774720771096576 | (205 | 205 | 0)
The DragonCouncil | 125436623860006913 | (8 | 6 | 2)
™ﾟ玩咖ℳic½俱樂部 | 286429529302499328 | (148 | 124 | 24)
The Bot-Challenge | 320924103806681098 | (140 | 138 | 2)
Friends | 302153563080228865 | (23 | 21 | 2)
The Loyal Clone Army of the Republic | 251509077543354368 | (11 | 4 | 7)
Extracto Corporation | 214882748651798528 | (21 | 16 | 5)
THE DEAD SET | 343176921099665418 | (8 | 5 | 3)
TIME TO RISE :) | 302390002845745154 | (39 | 12 | 27)
BotHell | 294518316318457858 | (161 | 149 | 12)
Sir. Barnaby | 205640080398745600 | (105 | 100 | 5)
The Trash Hole | 139792097858289664 | (67 | 39 | 28)
Purest Fan Club | 251096456042119168 | (22 | 14 | 8)
Server for friends and testing | 181469357614956546 | (32 | 20 | 12)
Test bot Server | 302134458646134815 | (6 | 5 | 1)
VMP C-ops Clan | 332786365680844800 | (49 | 18 | 31)
Spaicy Fandom (Discord Server) | 260135737544933378 | (10 | 5 | 5)
S-mite | 372569852893724682 | (9 | 5 | 4)
Gamingserver | 327901002055548929 | (16 | 7 | 9)
TS CLAN REOPENIG | 279055575600463883 | (19 | 7 | 12)
Feng's Discord | 297749659613528065 | (160 | 159 | 1)
C.T.H Bot Hell | 273749881754222592 | (127 | 83 | 44)
YouServerChannel | 213239742886576128 | (98 | 22 | 76)
Zappiii | 298155702541746187 | (6 | 4 | 2)
test1 | 353633665579876356 | (8 | 7 | 1)
Small's ultra secret testing dungeon | 240907728028041217 | (8 | 7 | 1)
test | 267021431005511690 | (5 | 4 | 1)
La Chatelerie | 289079634572607498 | (215 | 14 | 201)
bots of the south | 260622449064804352 | (17 | 16 | 1)
D.C.O.C.A | 293857995404869632 | (27 | 21 | 6)
Lenny | 226845169213767680 | (256 | 250 | 6)
Shadow Squad | 339598892540624897 | (42 | 2 | 40)
Romania Cu Valoare | 271942265188909056 | (7 | 4 | 3)
Discord Bots v6 | 291775682806284289 | (206 | 206 | 0)
Canale Discord ProGamer99 | 354203890025234432 | (26 | 4 | 22)
Botland | 263945537760395265 | (107 | 97 | 10)
Redundant Server | 338664715792154634 | (27 | 4 | 23)
test | 285165283738517505 | (16 | 15 | 1)
TheRealEmpire | 292165704579416064 | (24 | 13 | 11)
XxSakurAxX | 363653897845473281 | (92 | 82 | 10)
Yedek Discord | 297829291121704960 | (14 | 4 | 10)
100 bot special | 271751349488713729 | (82 | 79 | 3)
Daddy's safeplace | 239691106235711498 | (157 | 9 | 148)
Senpai's Discord Server | 334888571305590785 | (20 | 9 | 11)
Bot Commands | 264722718014963715 | (111 | 105 | 6)
Joke Clan | 267967766928162817 | (73 | 68 | 5)
!                                                 z. | 271661229267877899 | (104 | 102 | 2)
Chillin | 271751368845426719 | (39 | 29 | 10)
bots commander | 211496077289979904 | (67 | 65 | 2)
Bot_Paradise™ | 177386884077453312 | (223 | 220 | 3)
Sprinkles Cafe Discord Server! | 272396236257230848 | (16 | 13 | 3)
Fuck up | 282147711954976768 | (8 | 7 | 1)
Gw2 & Lotro | 245662971055964171 | (103 | 101 | 2)
Fine Gamers | 360894350831386624 | (26 | 5 | 21)
Daaves Hot Dog Company Inc. | 260180744092123143 | (106 | 90 | 16)
Bots Bots Bots | 294637800526053387 | (454 | 425 | 29)
Bots of Discord | 308592732773810178 | (560 | 556 | 4)
ToFeHD | 165811526068862976 | (15 | 11 | 4)
Cataclysm: DDA | 252365627543519232 | (292 | 6 | 286)
Normal Discord server | 311438646811164673 | (24 | 13 | 11)
MC5 | 364939035422097408 | (26 | 3 | 23)
🎮takımlı🎮 | 372840712351514627 | (19 | 13 | 6)
Transfer Station | 216214588889366529 | (106 | 12 | 94)
beep boop | 258747065717358592 | (33 | 30 | 3)
